sep=;
"Cluster";"Bergmann";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"H3K27me3";"H3K27me3";"GO:1990823";"response to leukemia inhibitory factor";"26/503";"312/23328";4.98334583040474e-09;9.57622230958157e-07;8.95481258759399e-07;"Dtx1/Mir127/Mir196a-1/Mir196a-2/Mir300/Mir323/Mir345/Mir369/Mir370/Mir376a/Mir380/Mir381/Mir382/Mir409/Mir410/Mir431/Mir433/Mir434/Mir485/Mir493/Mir494/Mir539/Mir540/Mir544/Mir665/Mir679";26
"H3K27me3";"H3K27me3";"GO:0060291";"long-term synaptic potentiation";"23/503";"248/23328";5.15580118679654e-09;9.57622230958157e-07;8.95481258759399e-07;"Drd2/Gip/Mir127/Mir134/Mir300/Mir337/Mir345/Mir369/Mir379/Mir381/Mir382/Mir410/Mir411/Mir433/Mir434/Mir487b/Mir539/Mir540/Mir541/Mir667/Mir673/Mir770/Nos1";23
"H3K27me3";"H3K27me3";"GO:0045071";"negative regulation of viral genome replication";"11/503";"58/23328";3.83209278903941e-08;6.76172772626003e-06;6.32295310191502e-06;"Ccnk/Oas1a/Oas1b/Oas1c/Oas1d/Oas1e/Oas1f/Oas1g/Oas1h/Oas2/Oas3";11
"H3K27me3";"H3K27me3";"GO:0071260";"cellular response to mechanical stimulus";"11/503";"63/23328";9.40448153214768e-08;1.50856433304314e-05;1.41067222982215e-05;"Got1/Mir154/Mir300/Mir376a/Mir379/Mir410/Mir495/Mir665/Nos1/Pax2/Ptpn11";11
"H3K27me3";"H3K27me3";"GO:0035108";"limb morphogenesis";"17/503";"175/23328";2.6731354755111e-07;3.93062295544945e-05;3.67556127882776e-05;"Evx2/Hotair/Hottip/Hoxa10/Hoxa11/Hoxa13/Hoxa9/Hoxc10/Hoxc11/Hoxd10/Hoxd11/Hoxd12/Hoxd13/Hoxd9/Sall1/Tbx3/Tbx5";17
"H3K27me3";"H3K27me3";"GO:0021545";"cranial nerve development";"9/503";"50/23328";1.07123645349196e-06;0.000135014051584754;0.000126252867732981;"Hes3/Hoxa3/Hoxb1/Hoxb2/Hoxb3/Hoxd3/Mafb/Pax2/Sall1";9
"H3K27me3";"H3K27me3";"GO:0009612";"response to mechanical stimulus";"16/503";"176/23328";1.45661232246636e-06;0.00017725465124082;0.000165752436694448;"Asic2/Bdkrb1/Drd2/Got1/Mir154/Mir300/Mir376a/Mir379/Mir410/Mir495/Mir665/Nos1/Pax2/Pkd1l2/Pkdrej/Ptpn11";16
"H3K27me3";"H3K27me3";"GO:0048732";"gland development";"28/503";"471/23328";1.54289297372827e-06;0.000181495643476235;0.000169718227110109;"Bcl11b/Cadm1/Ccl11/Drd2/Foxb1/Foxf1/Hnf1b/Hnf4a/Hoxa13/Hoxa3/Hoxa5/Hoxa9/Hoxb13/Hoxb3/Hoxb9/Hoxd13/Hoxd3/Hoxd9/Icmt/Ly6e/Mad1l1/Mafb/Meg3/Mki67/Oas2/Tbx3/Tfap2c/Tgfbr2";28
"H3K27me3";"H3K27me3";"GO:0048245";"eosinophil chemotaxis";"6/503";"20/23328";2.92403501377593e-06;0.000294826273246151;0.000275694729870302;"Ccl1/Ccl11/Ccl12/Ccl2/Ccl7/Ccl8";6
"H3K27me3";"H3K27me3";"GO:0001763";"morphogenesis of a branching structure";"18/503";"241/23328";5.49793030680955e-06;0.000524383677100835;0.000490355946283014;"Ccl11/Celsr1/Drd2/Foxc2/Foxf1/Hnf1b/Hoxa11/Hoxa13/Hoxa5/Hoxb13/Hoxb7/Hoxd11/Hoxd13/Pax2/Sall1/Tbx3/Tfap2c/Tgfbr2";18
"H3K27me3";"H3K27me3";"GO:0061138";"morphogenesis of a branching epithelium";"17/503";"222/23328";7.17504242923227e-06;0.000666334861388439;0.000623095789907013;"Ccl11/Celsr1/Foxc2/Foxf1/Hnf1b/Hoxa11/Hoxa13/Hoxa5/Hoxb13/Hoxb7/Hoxd11/Hoxd13/Pax2/Sall1/Tbx3/Tfap2c/Tgfbr2";17
"H3K27me3";"H3K27me3";"GO:0072677";"eosinophil migration";"6/503";"24/23328";9.43597793793325e-06;0.000832489153574161;0.000778468179879494;"Ccl1/Ccl11/Ccl12/Ccl2/Ccl7/Ccl8";6
"H3K27me3";"H3K27me3";"GO:0045165";"cell fate commitment";"19/503";"292/23328";2.16496796892083e-05;0.0017767841772841;0.00166148704591599;"Bcl11b/Chd5/Dmrt3/Ebf2/Evx1/Foxc2/Hand1/Hes5/Hnf1b/Hoxa11/Hoxa13/Hoxc10/Hoxd10/Pax2/Rtf2/Tbx3/Tbx5/Tfap2c/Tunar";19
"H3K27me3";"H3K27me3";"GO:0019079";"viral genome replication";"11/503";"115/23328";3.971637885881e-05;0.00318543411347137;0.00297872841441075;"Ccnk/Oas1a/Oas1b/Oas1c/Oas1d/Oas1e/Oas1f/Oas1g/Oas1h/Oas2/Oas3";11
"H3K27me3";"H3K27me3";"GO:2000027";"regulation of animal organ morphogenesis";"14/503";"210/23328";0.00019963861830468;0.0143780547754534;0.0134450498041927;"Ajap1/Celsr1/Dmrt3/Foxc2/Hnf1b/Hoxa11/Hoxb7/Hoxc11/Hoxd11/Hoxd13/Pax2/Sall1/Tbx5/Tgfbr2";14
"H3K27me3";"H3K27me3";"GO:0071361";"cellular response to ethanol";"5/503";"27/23328";0.000249099345729449;0.0175814318215845;0.0164405568181436;"Ccl7/Mir10a/Mir10b/Mir154/Mir496a";5
"H3K27me3";"H3K27me3";"GO:0071496";"cellular response to external stimulus";"16/503";"280/23328";0.000414727295558986;0.0286975024711306;0.0268352955949932;"Got1/Hrk/Map1lc3b/Mir154/Mir300/Mir376a/Mir379/Mir410/Mir495/Mir665/Myocd/Nos1/Nupr1l/Pax2/Ppara/Ptpn11";16
"H3K27me3";"H3K27me3";"GO:0003214";"cardiac left ventricle morphogenesis";"4/503";"18/23328";0.000513949552363475;0.034879384044052;0.0326160292846052;"Foxf1/Hand1/Tbx5/Tgfbr2";4
"H3K27me3";"H3K27me3";"GO:0007338";"single fertilization";"11/503";"154/23328";0.000529578741281973;0.0352619505280015;0.0329737706835945;"Cct6a/Hoxa10/Hoxa11/Hoxa9/Hoxd10/Hoxd11/Hoxd9/Pkdrej/Spaca3/Stx2/Trpc7";11
"H3K27me3";"H3K27me3";"GO:0055022";"negative regulation of cardiac muscle tissue growth";"5/503";"32/23328";0.000568636988992345;0.0364858169846179;0.0341182193395407;"Ppara/Tbx5/Tgfbr2/Trp73/Yy1";5
"H3K27me3";"H3K27me3";"GO:0061117";"negative regulation of heart growth";"5/503";"32/23328";0.000568636988992345;0.0364858169846179;0.0341182193395407;"Ppara/Tbx5/Tgfbr2/Trp73/Yy1";5
"H3K27me3";"H3K27me3";"GO:0001656";"metanephros development";"8/503";"89/23328";0.000677163692895879;0.0426734048612421;0.03990428904565;"Foxc2/Hes5/Hnf1b/Hoxa11/Hoxc11/Hoxd11/Pax2/Sall1";8
"LaminB1";"LaminB1";"GO:0051673";"membrane disruption in other organism";"7/83";"43/23328";1.61982797784246e-10;5.89617383934655e-08;5.02999214172132e-08;"Defa2/Defa27/Defa29/Defa3/Defa40/Defa41/Defa5";7
"LaminB1";"LaminB1";"GO:0002227";"innate immune response in mucosa";"7/83";"74/23328";8.27998553012911e-09;1.5069573664835e-06;1.28557670073057e-06;"Defa2/Defa27/Defa29/Defa3/Defa40/Defa41/Defa5";7
"LaminB1";"LaminB1";"GO:0002385";"mucosal immune response";"7/83";"91/23328";3.5477402246281e-08;4.30459147254877e-06;3.67222233777295e-06;"Defa2/Defa27/Defa29/Defa3/Defa40/Defa41/Defa5";7
"LaminB1";"LaminB1";"GO:0019731";"antibacterial humoral response";"7/83";"104/23328";8.97227043597948e-08;6.53181287739306e-06;5.57225216550304e-06;"Defa2/Defa27/Defa29/Defa3/Defa40/Defa41/Defa5";7
"LaminB1";"LaminB1";"GO:0043313";"regulation of neutrophil degranulation";"3/83";"10/23328";5.11864035604841e-06;0.000169380462691056;0.000144497502874094;"Cd177/Lypd10/Lypd11";3
"LaminB1";"LaminB1";"GO:0043312";"neutrophil degranulation";"3/83";"14/23328";1.53675853000344e-05;0.000430292388400964;0.000367079972753859;"Cd177/Lypd10/Lypd11";3
"LaminB1";"LaminB1";"GO:1902563";"regulation of neutrophil activation";"3/83";"14/23328";1.53675853000344e-05;0.000430292388400964;0.000367079972753859;"Cd177/Lypd10/Lypd11";3
"LaminB1";"LaminB1";"GO:2001044";"regulation of integrin-mediated signaling pathway";"3/83";"17/23328";2.84880651277776e-05;0.000740689693322217;0.000631878136292811;"Cd177/Lypd10/Lypd11";3
"LaminB1";"LaminB1";"GO:0002283";"neutrophil activation involved in immune response";"3/83";"18/23328";3.4097911201917e-05;0.000827442645166518;0.000705886582776526;"Cd177/Lypd10/Lypd11";3
"LaminB1";"LaminB1";"GO:0045217";"cell-cell junction maintenance";"3/83";"20/23328";4.73925512452336e-05;0.00107818054082906;0.000919789645877889;"Cd177/Lypd10/Lypd11";3
"LaminB1";"LaminB1";"GO:0071222";"cellular response to lipopolysaccharide";"7/83";"285/23328";7.09382832402209e-05;0.00151891382937885;0.00129577669076565;"Defa2/Defa27/Defa29/Defa3/Defa40/Defa41/Defa5";7
"LaminB1";"LaminB1";"GO:0071216";"cellular response to biotic stimulus";"7/83";"320/23328";0.00014565107746797;0.002790368010439;0.0023804469724682;"Defa2/Defa27/Defa29/Defa3/Defa40/Defa41/Defa5";7
"LaminB1";"LaminB1";"GO:0042119";"neutrophil activation";"3/83";"33/23328";0.000219373636333438;0.00399260018126857;0.00340606435359811;"Cd177/Lypd10/Lypd11";3
"LaminB1";"LaminB1";"GO:0002446";"neutrophil mediated immunity";"3/83";"35/23328";0.000261813516858006;0.00414348348418758;0.00353478203538269;"Cd177/Lypd10/Lypd11";3
"LaminB1";"LaminB1";"GO:0043302";"positive regulation of leukocyte degranulation";"3/83";"35/23328";0.000261813516858006;0.00414348348418758;0.00353478203538269;"Cd177/Lypd10/Lypd11";3
"LaminB1";"LaminB1";"GO:0006959";"humoral immune response";"7/83";"406/23328";0.00061219818154725;0.00795857636011424;0.00678941592317438;"Defa2/Defa27/Defa29/Defa3/Defa40/Defa41/Defa5";7
"LaminB1";"LaminB1";"GO:0045216";"cell-cell junction organization";"5/83";"205/23328";0.000831506242964093;0.01026940867786;0.00876077374195687;"Cd177/Cdh19/Cdh9/Lypd10/Lypd11";5
"LaminB1";"LaminB1";"GO:0002888";"positive regulation of myeloid leukocyte mediated immunity";"3/83";"52/23328";0.000846379836087359;0.01026940867786;0.00876077374195687;"Cd177/Lypd10/Lypd11";3
"LaminB1";"LaminB1";"GO:0098742";"cell-cell adhesion via plasma-membrane adhesion molecules";"5/83";"209/23328";0.000906648478456204;0.0106458079405825;0.00908187779777861;"Cd177/Cdh19/Cdh9/Lypd10/Lypd11";5
"LaminB1";"LaminB1";"GO:0007159";"leukocyte cell-cell adhesion";"6/83";"345/23328";0.00145356360548635;0.0155616809528538;0.0132755809169806;"Cd177/Lypd10/Lypd11/Sirpb1a/Sirpb1b/Sirpb1c";6
"LaminB1";"LaminB1";"GO:0002696";"positive regulation of leukocyte activation";"7/83";"479/23328";0.00159604745647111;0.0165988935472995;0.0141604210423752;"Cd177/Lypd10/Lypd11/Sirpb1a/Sirpb1b/Sirpb1c/Tex101";7
"LaminB1";"LaminB1";"GO:0043299";"leukocyte degranulation";"3/83";"74/23328";0.00234696741361116;0.0213574034638615;0.0182198786056656;"Cd177/Lypd10/Lypd11";3
"LaminB1";"LaminB1";"GO:0050766";"positive regulation of phagocytosis";"3/83";"84/23328";0.00336299059920441;0.0298567945880586;0.0254706605074531;"Sirpb1a/Sirpb1b/Sirpb1c";3
