sep=;
"Cluster";"category";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"ES";"ES";"GO:0005719";"nuclear euchromatin";"6/559";"39/23271";0.000310958205528031;0.00738525738129073;0.00618643166787346;"Alkbh1/Ash2l/Cbx3/Cecr2/Polr2a/Trim28";6
"ES";"ES";"GO:0000779";"condensed chromosome, centromeric region";"7/559";"57/23271";0.00041539142573491;0.00939575843924201;0.00787057438234567;"Atrx/Cbx3/Crebbp/Hjurp/Mis12/Rad21/Ska3";7
"ES";"ES";"GO:0022626";"cytosolic ribosome";"10/559";"115/23271";0.000460881301627461;0.00995084628513837;0.00833555655575026;"Rpl17/Rpl26/Rpl37/Rpl37a/Rpl8/Rps14/Rps15a/Rps23/Rps5/Rps6";10
"ES";"ES";"GO:0005840";"ribosome";"15/559";"234/23271";0.000572642544306349;0.0116400124748551;0.00975052568530798;"Btf3/Canx/Mrpl15/Mrps30/Ptcd3/Rpl17/Rpl26/Rpl37/Rpl37a/Rpl8/Rps14/Rps15a/Rps23/Rps5/Rps6";15
"ES";"ES";"GO:0000793";"condensed chromosome";"14/559";"210/23271";0.000588126946097942;0.0116400124748551;0.00975052568530798;"4930447C04Rik/Atrx/Brd4/Cbx3/Ccnb1ip1/Crebbp/Dnmt3l/Hjurp/Hmgb2/Mis12/Rad21/Rif1/Ska3/Smc2";14
"ES";"ES";"GO:0030684";"preribosome";"8/559";"80/23271";0.000670445155278929;0.0127384579502997;0.010670663945071;"Nol10/Nop58/Riok2/Rrp15/Rsl1d1/Utp14a/Utp4/Xrcc5";8
"ES";"ES";"GO:0005819";"spindle";"17/559";"297/23271";0.000913202587398183;0.016683508808236;0.0139753270460127;"Bora/Cbx3/Cul3/Diaph1/Ect2/Eml4/Hnrnpu/Pkd2/Pkp4/Rif1/Rps6ka2/Ska3/Spin1/Terf1/Tpt1/Vps4b/Xiap";17
"ES";"ES";"GO:0000791";"euchromatin";"6/559";"50/23271";0.00121217272665241;0.0213252609318479;0.0178635980769829;"Alkbh1/Ash2l/Cbx3/Cecr2/Polr2a/Trim28";6
"ES";"ES";"GO:0016363";"nuclear matrix";"8/559";"88/23271";0.00125834880143057;0.0213469885956971;0.0178817987571712;"Hnrnpa2b1/Hnrnpu/Psma6/Rad21/Scaf8/Tcerg1/Xpot/Yy1";8
"ES";"ES";"GO:0032806";"carboxy-terminal domain protein kinase complex";"4/559";"21/23271";0.00142413904558353;0.0233264154017991;0.0195399114058284;"Brd4/Cdk13/Cdk7/Gtf2h1";4
"ES";"ES";"GO:0031010";"ISWI-type complex";"3/559";"11/23271";0.00196983508528526;0.0286180386126845;0.0239725619846975;"Bptf/Cecr2/Hmgxb4";3
"ES";"ES";"GO:0031414";"N-terminal protein acetyltransferase complex";"3/559";"11/23271";0.00196983508528526;0.0286180386126845;0.0239725619846975;"Naa15/Naa20/Naa30";3
"ES";"ES";"GO:0005844";"polysome";"7/559";"74/23271";0.00199325649205789;0.0286180386126845;0.0239725619846975;"Btf3/Naa30/Psma6/Rpl17/Rpl8/Rps23/Rps6";7
"ES";"ES";"GO:0005849";"mRNA cleavage factor complex";"4/559";"23/23271";0.00202851991041125;0.0286180386126845;0.0239725619846975;"Cpsf4l/Csnk1a1/Pcf11/Scaf8";4
"ES";"ES";"GO:0032040";"small-subunit processome";"5/559";"38/23271";0.00204844907964479;0.0286180386126845;0.0239725619846975;"Nol10/Nop58/Utp14a/Utp4/Xrcc5";5
"ES";"ES";"GO:0042555";"MCM complex";"3/559";"12/23271";0.00257982858718477;0.034039404969799;0.0285138949109895;"Mcm3/Mcm6/Mms22l";3
"ES";"ES";"GO:0044294";"dendritic growth cone";"3/559";"12/23271";0.00257982858718477;0.034039404969799;0.0285138949109895;"Cobl/Hsp90aa1/Rtn4";3
"ES";"ES";"GO:0000123";"histone acetyltransferase complex";"7/559";"80/23271";0.00311194308448308;0.0391448728939814;0.032790608208144;"Crebbp/Jade1/Kansl1/Kat2b/Kat6b/Kat7/Msl2";7
"ES";"ES";"GO:0044391";"ribosomal subunit";"12/559";"198/23271";0.00313158983151851;0.0391448728939814;0.032790608208144;"Mrpl15/Mrps30/Rpl17/Rpl26/Rpl37/Rpl37a/Rpl8/Rps14/Rps15a/Rps23/Rps5/Rps6";12
"ES";"ES";"GO:0019908";"nuclear cyclin-dependent protein kinase holoenzyme complex";"3/559";"13/23271";0.00329432271712799;0.0401231612983537;0.0336100941180669;"Brd4/Cdk13/Cdk7";3
"ES";"ES";"GO:1990124";"messenger ribonucleoprotein complex";"3/559";"14/23271";0.00411853880150021;0.0489076482678151;0.0409686228149232;"Hnrnpa3/Pabpc1/Ybx1";3
"NM";"NM";"GO:0015629";"actin cytoskeleton";"50/556";"497/23271";8.97315916113004e-18;3.84051212096366e-15;2.77695662460235e-15;"Actb/Actn1/Adam8/Ahnak/Anxa2/Arpc1b/Asap1/Axl/Bcar1/Cald1/Cdc42bpb/Cdh2/Cgn/Cgnl1/Cnn2/Coro1b/Csrp1/Cttn/Cttnbp2nl/Ehbp1l1/Ezr/Fhl3/Flna/Flnb/Flnc/Krt19/Lasp1/Mlph/Mprip/Myh9/Myo18a/Myo1c/Myo1e/Myo5c/Onecut2/Parvb/Pdlim7/Ppp1r9b/Pxn/Ror1/Sh3pxd2b/Shroom1/Sipa1l3/Smtn/Specc1/Src/Tax1bp3/Tpm1/Vill/Zyx";50
"NM";"NM";"GO:0045121";"membrane raft";"37/556";"379/23271";4.76718262418745e-13;7.36967375119928e-11;5.32878525049825e-11;"Actb/Adcy6/Ahnak/Ano1/Anxa2/App/Capn2/Casp3/Casp8/Cav2/Cavin1/Cavin2/Cd24a/Cdh13/Cdh2/Csk/Ctsd/Egfr/Ehd2/Ezr/F2r/Gnai2/Igf1r/Kcnn4/Kirrel/Myo1c/Pag1/Plpp2/Prkca/Ptgs2/S100a10/Sdc4/Serpinh1/Slc9a3r1/Src/Tgfbr2/Unc5b";37
"NM";"NM";"GO:0098857";"membrane microdomain";"37/556";"380/23271";5.16565917140137e-13;7.36967375119928e-11;5.32878525049825e-11;"Actb/Adcy6/Ahnak/Ano1/Anxa2/App/Capn2/Casp3/Casp8/Cav2/Cavin1/Cavin2/Cd24a/Cdh13/Cdh2/Csk/Ctsd/Egfr/Ehd2/Ezr/F2r/Gnai2/Igf1r/Kcnn4/Kirrel/Myo1c/Pag1/Plpp2/Prkca/Ptgs2/S100a10/Sdc4/Serpinh1/Slc9a3r1/Src/Tgfbr2/Unc5b";37
"NM";"NM";"GO:0005925";"focal adhesion";"24/556";"161/23271";8.51673697660731e-13;9.11290856496982e-11;6.58926492400671e-11;"Actn1/Bcar1/Capn2/Cav2/Cttn/Epha2/Ezr/Flnb/Git1/Itga2/Itgb4/Lasp1/Msn/Myh9/Parvb/Pdlim7/Phldb2/Plec/Pxn/Sdc4/Tns2/Tns3/Vasp/Zyx";24
"NM";"NM";"GO:0098589";"membrane region";"37/556";"393/23271";1.43019399369127e-12;1.22424605859973e-10;8.85214808726809e-11;"Actb/Adcy6/Ahnak/Ano1/Anxa2/App/Capn2/Casp3/Casp8/Cav2/Cavin1/Cavin2/Cd24a/Cdh13/Cdh2/Csk/Ctsd/Egfr/Ehd2/Ezr/F2r/Gnai2/Igf1r/Kcnn4/Kirrel/Myo1c/Pag1/Plpp2/Prkca/Ptgs2/S100a10/Sdc4/Serpinh1/Slc9a3r1/Src/Tgfbr2/Unc5b";37
"NM";"NM";"GO:0030055";"cell-substrate junction";"24/556";"174/23271";4.73875869291468e-12;3.38031453427914e-10;2.44420185213494e-10;"Actn1/Bcar1/Capn2/Cav2/Cttn/Epha2/Ezr/Flnb/Git1/Itga2/Itgb4/Lasp1/Msn/Myh9/Parvb/Pdlim7/Phldb2/Plec/Pxn/Sdc4/Tns2/Tns3/Vasp/Zyx";24
"NM";"NM";"GO:0062023";"collagen-containing extracellular matrix";"34/556";"385/23271";6.79154687554126e-11;4.15254580390237e-09;3.00257861866034e-09;"Adamtsl5/Anxa2/Anxa3/Anxa5/Bmp1/Col27a1/Col4a2/Ctsd/Ctsl/Efemp2/Efna5/F3/Gpc6/Igfbp7/Itgb4/Lama5/Lamb3/Lgals1/Lgals3/Ltbp3/Muc1/Nav2/Npnt/Plxnb2/Pxdn/Runx1/S100a10/S100a11/S100a13/S100a6/Serpine1/Serpinh1/Thbs1/Tinagl1";34
"NM";"NM";"GO:0042641";"actomyosin";"17/556";"95/23271";9.67919804180343e-11;5.17837095236484e-09;3.74432134775027e-09;"Actb/Actn1/Anxa2/Cdc42bpb/Cnn2/Coro1b/Fhl3/Flnb/Mlph/Mprip/Myh9/Myo18a/Pdlim7/Pxn/Ror1/Sipa1l3/Zyx";17
"NM";"NM";"GO:0032432";"actin filament bundle";"16/556";"95/23271";8.80521929264745e-10;4.18737095250345e-08;3.02775961641912e-08;"Actb/Actn1/Anxa2/Cnn2/Coro1b/Fhl3/Flna/Flnb/Mlph/Mprip/Myh9/Pdlim7/Pxn/Ror1/Sipa1l3/Zyx";16
"NM";"NM";"GO:0001725";"stress fiber";"15/556";"86/23271";1.78895330116048e-09;6.96065466269713e-08;5.03303608173378e-08;"Actb/Actn1/Anxa2/Cnn2/Coro1b/Fhl3/Flnb/Mlph/Mprip/Myh9/Pdlim7/Pxn/Ror1/Sipa1l3/Zyx";15
"NM";"NM";"GO:0097517";"contractile actin filament bundle";"15/556";"86/23271";1.78895330116048e-09;6.96065466269713e-08;5.03303608173378e-08;"Actb/Actn1/Anxa2/Cnn2/Coro1b/Fhl3/Flnb/Mlph/Mprip/Myh9/Pdlim7/Pxn/Ror1/Sipa1l3/Zyx";15
"NM";"NM";"GO:0031252";"cell leading edge";"31/556";"395/23271";8.15400629423555e-09;2.90826224494401e-07;2.10287530746075e-07;"Actb/Actn1/Anxa2/App/Arpin/Bcar1/Cd44/Cdh2/Coro1b/Cttn/Dagla/Dnm2/Epha2/Eps8l2/Ezr/Iqgap2/Itgb4/Myh9/Myo1c/Nradd/Nrg1/Parvb/Pdlim7/Phldb2/Ppp1r9b/Ptprm/Pxn/S100a6/Src/Vasp/Wwc1";31
"NM";"NM";"GO:0016323";"basolateral plasma membrane";"22/556";"259/23271";3.17943828874736e-07;1.04676891352605e-05;7.56886523798966e-06;"Abcc1/Abcc3/Anxa2/Arrb1/Cadm1/Cd44/Cd81/Cdh2/Cnnm4/Dsp/Egfr/Ezr/Itga3/Itgb4/Kcnn4/Ldlrap1/Msn/Myo1c/Pdgfb/Plec/Slc6a6/Tgfa";22
"NM";"NM";"GO:0098858";"actin-based cell projection";"20/556";"221/23271";3.9907414872521e-07;1.22002668324564e-05;8.8216390770836e-06;"Adcy6/Anks4b/App/Cd24a/Cd44/Ctsl/Epha4/Eps8l2/Ezr/Iqgap2/Itga3/Msn/Myo1c/Myo1e/Ppp1r9b/Rhoc/Slc6a6/Slc9a3r1/Stard10/Vasp";20
"NM";"NM";"GO:0030027";"lamellipodium";"17/556";"171/23271";7.98699468496406e-07;2.27895581677641e-05;1.64784311395048e-05;"Actb/App/Arpin/Bcar1/Cd44/Cdh2/Coro1b/Cttn/Dnm2/Epha2/Iqgap2/Nradd/Parvb/Ppp1r9b/Ptprm/Pxn/Vasp";17
"NM";"NM";"GO:0005902";"microvillus";"13/556";"101/23271";8.60214060945515e-07;2.30107261302925e-05;1.66383509156567e-05;"Adcy6/Anks4b/Cd24a/Cd44/Ctsl/Ezr/Iqgap2/Msn/Myo1c/Myo1e/Slc6a6/Slc9a3r1/Stard10";13
"NM";"NM";"GO:0005912";"adherens junction";"15/556";"138/23271";1.14388366202421e-06;2.87989533733154e-05;2.08236406585213e-05;"Actb/Cdh2/Cdh6/Efna5/Frmd4a/Jag1/Kifc3/Lmo7/Myh9/Myo1e/Pdlim7/Ptprm/Shroom1/Tnks1bp1/Zyx";15
"NM";"NM";"GO:0005884";"actin filament";"14/556";"136/23271";4.94242198522708e-06;0.000117519811648733;8.49749744828515e-05;"Actb/Actn1/Cald1/Coro1b/Cttn/Ehbp1l1/Ezr/Flna/Myo1c/Pdlim7/Smtn/Specc1/Src/Tpm1";14
"NM";"NM";"GO:0005938";"cell cortex";"22/556";"307/23271";5.36198171536479e-06;0.000120785693377691;8.733643348018e-05;"Actb/Actn1/Anxa2/Cald1/Cdh2/Crip2/Cttn/Flna/Gipc1/Itgb4/Krt19/Lasp1/Mlph/Myh9/Myo1e/Pard6b/Phldb2/Ppp1r9b/Rhoc/Rhog/Rnd3/Shroom1";22
"NM";"NM";"GO:0150034";"distal axon";"25/556";"384/23271";6.80280817738079e-06;0.000145580094995949;0.000105264505481576;"Actb/Anxa5/App/Calm3/Clu/Cttn/Dnm2/Dvl1/Epha4/Flna/Git1/Itga2/Itga3/Klc1/Map1b/Ncam1/Ncs1/Orai2/Ppp1r9b/Prkca/Ptprf/Ptprn/Ror1/Sri/Tnk2";25
"NM";"NM";"GO:0030863";"cortical cytoskeleton";"13/556";"123/23271";8.02771997257322e-06;0.000163612578488635;0.000118303241701079;"Actb/Actn1/Cald1/Cdh2/Cttn/Flna/Krt19/Lasp1/Mlph/Myh9/Myo1e/Ppp1r9b/Shroom1";13
"NM";"NM";"GO:0030864";"cortical actin cytoskeleton";"11/556";"89/23271";8.89814546573454e-06;0.000170183749099651;0.000123054653800535;"Actn1/Cald1/Cdh2/Cttn/Krt19/Lasp1/Mlph/Myh9/Myo1e/Ppp1r9b/Shroom1";11
"NM";"NM";"GO:0043292";"contractile fiber";"18/556";"226/23271";9.14538838619619e-06;0.000170183749099651;0.000123054653800535;"Actn1/Ahnak/Ankrd1/Anxa5/Csrp1/Fbxl22/Fhl2/Fhl3/Flna/Habp4/Krt19/Npnt/Pdlim7/Plec/S100a1/Sdc4/Sri/Tpm1";18
"NM";"NM";"GO:0001726";"ruffle";"14/556";"149/23271";1.42292476501058e-05;0.0002515128603511;0.000181861241867249;"Actn1/Anxa2/Bcar1/Cttn/Dnm2/Eps8l2/Ezr/Myh9/Myo1c/Pdlim7/Ppp1r9b/S100a6/Src/Wwc1";14
"NM";"NM";"GO:0044853";"plasma membrane raft";"13/556";"130/23271";1.46911717494801e-05;0.0002515128603511;0.000181861241867249;"Cav2/Cavin1/Cavin2/Cdh13/Cdh2/Ehd2/Ezr/F2r/Igf1r/Plpp2/Ptgs2/Src/Tgfbr2";13
"NM";"NM";"GO:0005901";"caveola";"11/556";"97/23271";2.04107510643984e-05;0.000335992363675481;0.000242945781900126;"Cav2/Cavin1/Cavin2/Cdh13/Ehd2/F2r/Igf1r/Plpp2/Ptgs2/Src/Tgfbr2";11
"NM";"NM";"GO:0005903";"brush border";"13/556";"140/23271";3.24514455361408e-05;0.000514415507017343;0.000371958089186175;"Actn1/Anks4b/Cgn/Ezr/Flna/Flnb/Gipc1/Myh9/Myo18a/Myo1c/Myo1e/Plec/Slc9a3r1";13
"NM";"NM";"GO:0002102";"podosome";"6/556";"27/23271";3.49500809346455e-05;0.000534236951429581;0.000386290368225029;"Actb/Adam8/Asap1/Cttn/Sh3pxd2b/Src";6
"NM";"NM";"GO:0042383";"sarcolemma";"14/556";"164/23271";4.17389659928909e-05;0.000616009567067493;0.000445417640722683;"Adcy6/Ahnak/Anxa2/Anxa5/Camk2d/Cav2/Cdh2/Ezr/Flnc/Igf1r/Krt19/Msn/Plec/Sri";14
"NM";"NM";"GO:0030426";"growth cone";"16/556";"209/23271";4.59955433429943e-05;0.000656203085026718;0.000474480341854046;"App/Calm3/Clu/Cttn/Dnm2/Dvl1/Epha4/Flna/Itga3/Klc1/Map1b/Ncam1/Orai2/Ppp1r9b/Ptprf/Tnk2";16
"NM";"NM";"GO:0031253";"cell projection membrane";"20/556";"304/23271";4.81943766114827e-05;0.00066539332870047;0.000481125525425328;"Adcy6/Asap1/Cd24a/Cd44/Dagla/Dnm2/Eps8l2/Ezr/Gnb1/Itga3/Kirrel/Msn/Myo1c/Nradd/Nrg1/Ppp1r9b/Slc6a6/Slc9a3r1/Src/Wwc1";20
"NM";"NM";"GO:0070160";"tight junction";"13/556";"146/23271";5.03887733385692e-05;0.000673949843403363;0.000487312478998005;"Actb/Amotl2/Ccnd1/Cgn/Cgnl1/Epha2/Frmd4a/Lsr/Magi3/Pard6b/Sipa1l3/Traf4/Vasp";13
"NM";"NM";"GO:0030016";"myofibril";"16/556";"212/23271";5.4576398216534e-05;0.000707839346565955;0.000511816940212472;"Actn1/Ahnak/Ankrd1/Anxa5/Csrp1/Fbxl22/Fhl2/Fhl3/Flna/Habp4/Krt19/Pdlim7/S100a1/Sdc4/Sri/Tpm1";16
"NM";"NM";"GO:0030427";"site of polarized growth";"16/556";"216/23271";6.81940296662943e-05;0.000858442491093352;0.00062071345888206;"App/Calm3/Clu/Cttn/Dnm2/Dvl1/Epha4/Flna/Itga3/Klc1/Map1b/Ncam1/Orai2/Ppp1r9b/Ptprf/Tnk2";16
"NM";"NM";"GO:0098862";"cluster of actin-based cell projections";"15/556";"200/23271";9.93219748533626e-05;0.00121456586392112;0.000878215356598153;"Actn1/Anks4b/Cgn/Eps8l2/Ezr/Flna/Flnb/Gipc1/Myh9/Myo18a/Myo1c/Myo1e/Plec/Rhoc/Slc9a3r1";15
"NM";"NM";"GO:0031528";"microvillus membrane";"5/556";"21/23271";0.000113309265799531;0.0013471212711722;0.000974062109504738;"Adcy6/Cd24a/Ezr/Slc6a6/Slc9a3r1";5
"NM";"NM";"GO:0043235";"receptor complex";"23/556";"403/23271";0.000119178115973139;0.00137550509796817;0.000994585584856475;"Alcam/App/Axl/Cd44/Egfr/Epha2/Epha4/Ephb4/Gprc5a/Igf1r/Il4ra/Itga2/Itga3/Itgb4/Lrp5/Npnt/Plxna1/Plxnb2/Ror1/Rxra/Smad3/Tgfbr2/Traf4";23
"NM";"NM";"GO:0031674";"I band";"12/556";"138/23271";0.000122124284399043;0.00137550509796817;0.000994585584856475;"Actn1/Ankrd1/Anxa5/Csrp1/Fbxl22/Fhl2/Fhl3/Flna/Krt19/Pdlim7/S100a1/Sri";12
"NM";"NM";"GO:0098562";"cytoplasmic side of membrane";"14/556";"186/23271";0.000161705708384242;0.00173985576985074;0.00125803639039872;"Cav2/Ezr/Farp1/Gnai2/Gnb1/H13/Ldlrap1/Litaf/Msn/Ppp1r9b/Rasa3/S100a6/Src/Tnk2";14
"NM";"NM";"GO:0045178";"basal part of cell";"9/556";"83/23271";0.000162603342976705;0.00173985576985074;0.00125803639039872;"Abcc1/Cd81/Egfr/Itga2/Itgb4/Ldlrap1/Myo1c/Phldb2/Plec";9
"NM";"NM";"GO:0045111";"intermediate filament cytoskeleton";"13/556";"165/23271";0.000174992071371605;0.00182674650114749;0.00132086441548785;"Dsp/Iffo2/Krt18/Krt19/Krt7/Krt80/Ldlrap1/Lmna/Mmp14/Nes/Phldb2/Plec/Ppl";13
"NM";"NM";"GO:0030017";"sarcomere";"14/556";"188/23271";0.000180848724210217;0.00184293461814221;0.00133256954681212;"Actn1/Ankrd1/Anxa5/Csrp1/Fbxl22/Fhl2/Fhl3/Flna/Habp4/Krt19/Pdlim7/S100a1/Sri/Tpm1";14
"NM";"NM";"GO:0030018";"Z disc";"11/556";"125/23271";0.000208952303890609;0.00207980432709723;0.00150384277463498;"Actn1/Anxa5/Csrp1/Fbxl22/Fhl2/Fhl3/Flna/Krt19/Pdlim7/S100a1/Sri";11
"NM";"NM";"GO:0009898";"cytoplasmic side of plasma membrane";"13/556";"169/23271";0.0002217682237193;0.00215719999436046;0.00155980520989173;"Cav2/Ezr/Farp1/Gnai2/Gnb1/Ldlrap1/Litaf/Msn/Ppp1r9b/Rasa3/S100a6/Src/Tnk2";13
"NM";"NM";"GO:0005905";"clathrin-coated pit";"8/556";"69/23271";0.000234707488782598;0.00223232900442115;0.00161412869478558;"Ap2s1/App/Arrb1/Bcl2l1/Cttn/Dnm2/Sh3bp4/Tnk2";8
"NM";"NM";"GO:0045177";"apical part of cell";"24/556";"454/23271";0.000269293049394321;0.00250559619871238;0.00181171982887713;"Abcc1/Amotl2/Ano1/App/Cd44/Cd81/Cdh2/Cep164/Ctsl/Egfr/Ezr/Jag1/Kcnn4/Lmo7/Msn/Muc1/Pard6b/Plat/Plec/Prkca/Shroom1/Sipa1l3/Slc6a6/Slc9a3r1";24
"NM";"NM";"GO:0005882";"intermediate filament";"11/556";"129/23271";0.000275243424023273;0.00250647203153108;0.00181235311674898;"Dsp/Iffo2/Krt18/Krt19/Krt7/Krt80/Ldlrap1/Lmna/Nes/Plec/Ppl";11
"NM";"NM";"GO:0016459";"myosin complex";"7/556";"54/23271";0.000286550791350982;0.00255507788954626;0.00184749852318396;"Cgn/Cgnl1/Mlph/Myh9/Myo18a/Myo1c/Myo1e";7
"NM";"NM";"GO:0030139";"endocytic vesicle";"14/556";"200/23271";0.00034195663958487;0.00298688656616988;0.00215972614474655;"Adam8/Anxa3/Ap2s1/Cdc42ep2/Dnm2/Ecpas/Egfr/Ehd2/Flnb/Gipc1/Myo18a/Myo1c/Myo1e/Zyx";14
"NM";"NM";"GO:0043296";"apical junction complex";"12/556";"158/23271";0.000429995658902932;0.0036807628402091;0.00266144681510447;"Actb/Amotl2/Ccnd1/Cgn/Cgnl1/Frmd4a/Kifc3/Magi3/Pard6b/Shroom1/Traf4/Vasp";12
"NM";"NM";"GO:0005769";"early endosome";"17/556";"284/23271";0.000522555482512115;0.00438536757872912;0.00317092490936144;"Ankrd13b/Anxa2/App/Bace1/Dagla/Ecpas/Egfr/Ehd2/Epha4/F2r/Ldlrap1/Litaf/Neurl1b/Plpp2/Pmepa1/Rin3/Sh3glb1";17
"NM";"NM";"GO:0009925";"basal plasma membrane";"7/556";"60/23271";0.000552494760698553;0.00454745687651886;0.00328812671346912;"Abcc1/Cd81/Egfr/Itgb4/Ldlrap1/Myo1c/Plec";7
