sep=;
"Cluster";"category";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"ES";"ES";"GO:0006403";"RNA localization";"20/558";"182/23328";1.6294360001577e-08;4.68346461759613e-06;4.00988272820763e-06;"Cct2/Dhx36/G3bp2/Hnrnpa1/Hnrnpa2b1/Hnrnpa3/Hnrnpu/Nop58/Ranbp17/Rbm26/Riok2/Senp2/Slbp/Srsf3/Srsf7/Terf1/Xpot/Ybx1/Ythdc1/Yy1";20
"ES";"ES";"GO:0006338";"chromatin remodeling";"19/558";"167/23328";2.10856404293181e-08;5.65657447250506e-06;4.84303867544969e-06;"Arid1a/Atrx/Bptf/Cecr2/Chd7/Dnmt3b/Hdac4/Hells/Hjurp/Hmgb2/Jarid2/Kat2b/Kdm5b/Nasp/Resf1/Smarcad1/Tet1/Top1/Trim28";19
"ES";"ES";"GO:0019827";"stem cell population maintenance";"19/558";"171/23328";3.10521723938195e-08;7.80962135704561e-06;6.6864315950639e-06;"Arid1a/Cdc73/Crebbp/Dppa2/Mtf2/Nanog/Ncoa3/Raf1/Rbpj/Rest/Rif1/Sall4/Srrt/Ss18/Tcf7l1/Tet1/Tpt1/Zc3h13/Zfp706";19
"ES";"ES";"GO:0098727";"maintenance of cell number";"19/558";"175/23328";4.52015720544522e-08;1.01050625526175e-05;8.65173949322936e-06;"Arid1a/Cdc73/Crebbp/Dppa2/Mtf2/Nanog/Ncoa3/Raf1/Rbpj/Rest/Rif1/Sall4/Srrt/Ss18/Tcf7l1/Tet1/Tpt1/Zc3h13/Zfp706";19
"ES";"ES";"GO:0043414";"macromolecule methylation";"25/558";"297/23328";6.1211613897652e-08;1.23157767162076e-05;1.05445059098429e-05;"Ash2l/Atrx/Crebbp/Dnmt3b/Dnmt3l/Dppa2/Eed/Etf1/Gspt1/Hells/Ilf3/Jarid2/Mettl16/Mettl2/Mtf2/Prmt3/Rbbp5/Rif1/Rlf/Smyd3/Tet1/Tet2/Trim28/Zc3h13/Zfp57";25
"ES";"ES";"GO:0006402";"mRNA catabolic process";"21/558";"217/23328";6.67979431916619e-08;1.24054488767576e-05;1.06212813052286e-05;"Cnot6/Dhx36/Eif3e/Etf1/Exosc5/Gspt1/Hnrnpu/Mettl16/Noct/Pabpc1/Pum1/Pum2/Pym1/Smg7/Syncrip/Taf15/Tardbp/Tbrg4/Trim71/Ybx1/Ythdf3";21
"ES";"ES";"GO:0018205";"peptidyl-lysine modification";"28/558";"364/23328";6.7823030638337e-08;1.24054488767576e-05;1.06212813052286e-05;"Ash2l/Atrx/Brd4/Crebbp/Dnmt3b/Eed/Hat1/Hdac4/Jade1/Jarid2/Kansl1/Kat2b/Kat6b/Kat7/Msl2/Mtf2/Pias2/Rbbp5/Rif1/Rlf/Rnf4/Senp2/Senp6/Sin3a/Smyd3/Tet2/Trim28/Uba2";28
"ES";"ES";"GO:0032259";"methylation";"27/558";"349/23328";1.03663907297917e-07;1.81366766507312e-05;1.55282365485621e-05;"Ash2l/Atrx/Carnmt1/Crebbp/Dnmt3b/Dnmt3l/Dppa2/Eed/Etf1/Gspt1/Hells/Ilf3/Jarid2/Mettl16/Mettl2/Mtf2/Prmt3/Rbbp5/Rif1/Rlf/Smyd3/Tet1/Tet2/Trim28/Trmt11/Zc3h13/Zfp57";27
"ES";"ES";"GO:0006260";"DNA replication";"22/558";"244/23328";1.14868100457209e-07;1.92595515099921e-05;1.64896181051073e-05;"Ankrd17/Atf1/Atrx/Ccne1/Dtl/Etaa1/Gen1/Gmnn/Kat7/Mcm10/Mcm3/Mcm6/Mms22l/Nasp/Nucks1/Orc5/Rbbp6/Senp2/Sin3a/Terf1/Tipin/Top1";22
"ES";"ES";"GO:0006417";"regulation of translation";"27/558";"355/23328";1.46326037400739e-07;2.35526389800229e-05;2.01652682278997e-05;"Alkbh1/Caprin1/Cnbp/Cnot6/Dapk1/Dhx36/Eif2s1/Eif3e/Eif4g2/Eif5/Etf1/Gspt1/Ilf3/Mettl16/Nat10/Ncl/Ptcd3/Pum1/Pum2/Pym1/Rpl26/Syncrip/Tardbp/Tcof1/Trim71/Ythdf3/Zfp706";27
"ES";"ES";"GO:0002181";"cytoplasmic translation";"13/558";"91/23328";2.54570994972393e-07;3.79405068062558e-05;3.24838544461848e-05;"Cnbp/Dhx36/Eif3a/Eif4b/Eif4h/Eif5/Etf1/Gspt1/Rpl17/Rpl26/Rpl8/Rps23/Zc3h15";13
"ES";"ES";"GO:0043161";"proteasome-mediated ubiquitin-dependent protein catabolic process";"28/558";"405/23328";6.04086867582959e-07;7.84143727468977e-05;6.71367170661808e-05;"Atxn3/Cdc26/Csnk1a1/Cul1/Cul2/Cul3/Fbxo22/Fbxo38/Gid8/Huwe1/N4bp1/Nedd4/Pcbp2/Plaa/Psma6/Psmb1/Rad23b/Rnf4/Skp2/Stt3b/Trim71/Ube2d3/Ube2g1/Ube2k/Ubxn2a/Usp7/Wac/Znrf1";28
"ES";"ES";"GO:0034248";"regulation of cellular amide metabolic process";"28/558";"410/23328";7.71229376173196e-07;9.38482388671944e-05;8.03508647620402e-05;"Alkbh1/Caprin1/Cnbp/Cnot6/Dapk1/Dhx36/Eif2s1/Eif3e/Eif4g2/Eif5/Etf1/Gspt1/Ilf3/Mettl16/Nat10/Ncl/Picalm/Ptcd3/Pum1/Pum2/Pym1/Rpl26/Syncrip/Tardbp/Tcof1/Trim71/Ythdf3/Zfp706";28
"ES";"ES";"GO:0044270";"cellular nitrogen compound catabolic process";"27/558";"391/23328";9.81217959602821e-07;0.000106714082957885;9.13663266509255e-05;"Cnot6/Dhx36/Dut/Eif3e/Enpp3/Etf1/Exosc5/Gspt1/Hnrnpu/Mettl16/Noct/Nudt4/Pabpc1/Pum1/Pum2/Pym1/Smg7/Syncrip/Taf15/Tardbp/Tbrg4/Tet1/Tet2/Trim71/Upp1/Ybx1/Ythdf3";27
"ES";"ES";"GO:1901361";"organic cyclic compound catabolic process";"29/558";"442/23328";1.10663339144671e-06;0.000117186651767936;0.000100332717180196;"Cnot6/Dhx36/Dut/Eif3e/Enpp3/Etf1/Exosc5/Gspt1/Hnrnpu/Hsd17b11/Mettl16/Noct/Nudt4/Pabpc1/Pum1/Pum2/Pym1/Smg7/Syncrip/Taf15/Tardbp/Tbrg4/Tet1/Tet2/Trim71/Upp1/Ybx1/Ythdf3/Ywhah";29
"ES";"ES";"GO:0007059";"chromosome segregation";"24/558";"324/23328";1.1522315231038e-06;0.00011888665766589;0.000101788226049089;"4930447C04Rik/Atrx/Brd4/Ccnb1ip1/Ccne1/Cdc26/Cdca2/Cul3/Ect2/Gen1/Hjurp/Hnrnpu/Mis12/Pum1/Pum2/Rad21/Riok2/Ska3/Smarcad1/Smc2/Terf1/Tlk1/Top1/Vps4b";24
"ES";"ES";"GO:0046700";"heterocycle catabolic process";"27/558";"397/23328";1.3139392029464e-06;0.000122960264015263;0.000105275961107553;"Cnot6/Dhx36/Dut/Eif3e/Enpp3/Etf1/Exosc5/Gspt1/Hnrnpu/Mettl16/Noct/Nudt4/Pabpc1/Pum1/Pum2/Pym1/Smg7/Syncrip/Taf15/Tardbp/Tbrg4/Tet1/Tet2/Trim71/Upp1/Ybx1/Ythdf3";27
"ES";"ES";"GO:0071826";"ribonucleoprotein complex subunit organization";"17/558";"179/23328";1.53796206823823e-06;0.000137527985835348;0.000117748534487573;"Cdc73/Celf1/Eif3a/Eif4b/Eif4h/Eif5/Hsp90aa1/Kif5b/Luc7l2/Rbmxl1/Rps14/Rps5/Setx/Snrpe/Srsf10/Xrcc5/Ythdc1";17
"ES";"ES";"GO:0040029";"regulation of gene expression, epigenetic";"16/558";"163/23328";2.01611079443811e-06;0.000172613400783382;0.000147787920049181;"Arid1a/Ash2l/Cdca4/Cdyl/Dnmt3b/Eed/Hat1/Hdac4/Hells/Hnrnpu/Mier1/Rif1/Rlim/Sin3a/Ythdc1/Zfp57";16
"ES";"ES";"GO:0019439";"aromatic compound catabolic process";"27/558";"411/23328";2.53213598243715e-06;0.000200102597815394;0.000171323585500101;"Cnot6/Dhx36/Dut/Eif3e/Enpp3/Etf1/Exosc5/Gspt1/Hnrnpu/Mettl16/Noct/Nudt4/Pabpc1/Pum1/Pum2/Pym1/Smg7/Syncrip/Taf15/Tardbp/Tbrg4/Tet1/Tet2/Trim71/Upp1/Ybx1/Ythdf3";27
"ES";"ES";"GO:0022618";"ribonucleoprotein complex assembly";"16/558";"172/23328";4.07414638883055e-06;0.000303599353123225;0.000259935304690885;"Cdc73/Celf1/Eif3a/Eif4b/Eif4h/Eif5/Hsp90aa1/Luc7l2/Rbmxl1/Rps14/Rps5/Setx/Snrpe/Srsf10/Xrcc5/Ythdc1";16
"ES";"ES";"GO:0050657";"nucleic acid transport";"15/558";"157/23328";5.85044704442195e-06;0.000392369981779232;0.000335938827656019;"G3bp2/Hnrnpa1/Hnrnpa2b1/Hnrnpa3/Hnrnpu/Ranbp17/Rbm26/Riok2/Senp2/Slbp/Srsf3/Srsf7/Xpot/Ybx1/Ythdc1";15
"ES";"ES";"GO:0050658";"RNA transport";"15/558";"157/23328";5.85044704442195e-06;0.000392369981779232;0.000335938827656019;"G3bp2/Hnrnpa1/Hnrnpa2b1/Hnrnpa3/Hnrnpu/Ranbp17/Rbm26/Riok2/Senp2/Slbp/Srsf3/Srsf7/Xpot/Ybx1/Ythdc1";15
"ES";"ES";"GO:0032786";"positive regulation of DNA-templated transcription, elongation";"7/558";"31/23328";6.88972502239484e-06;0.000447165378872852;0.000382853480446491;"Brd4/Cbx7/Cdc73/Cdk13/Eloc/Kat7/Scaf8";7
"ES";"ES";"GO:0071824";"protein-DNA complex subunit organization";"17/558";"214/23328";1.69287474303233e-05;0.00101673551730777;0.000870507310910418;"Arid1a/Atrx/Bptf/Gtf2e1/Hat1/Hells/Hjurp/Kat6b/Mcm3/Mcm6/Mis12/Nasp/Rnf4/Senp6/Set/Smyd3/Terf1";17
"ES";"ES";"GO:1903320";"regulation of protein modification by small protein conjugation or removal";"18/558";"240/23328";2.10003988967403e-05;0.00117368896056226;0.00100488750861156;"Cul3/Hdac4/Hsp90aa1/Huwe1/Marchf7/N4bp1/Plaa/Prmt3/Pten/Rnf4/Senp2/Skp2/Trip12/Uba2/Ube2n/Ubr5/Ubxn2a/Xiap";18
"ES";"ES";"GO:0031647";"regulation of protein stability";"20/558";"287/23328";2.16852819671367e-05;0.00119192098791134;0.00102049738239871;"Atp1b3/Cct2/Cct7/Cdc37l1/Cdc73/Cdk7/Crebbp/Cul3/Hsp90aa1/Marchf7/Morc3/Naa15/Pten/Rnf149/Rtn4/Senp2/Tardbp/Ubr5/Usp28/Usp7";20
"ES";"ES";"GO:0071514";"genetic imprinting";"7/558";"37/23328";2.38223944141011e-05;0.0012781508682979;0.00109432557076986;"Dnmt3b/Dnmt3l/Eed/Tet1/Trim28/Zfp42/Zfp57";7
"ES";"ES";"GO:0090069";"regulation of ribosome biogenesis";"5/558";"16/23328";2.70006424840231e-05;0.0014296129652067;0.00122400419460122;"Kat2b/Ncl/Pten/Riok2/Wdr75";5
"ES";"ES";"GO:0009411";"response to UV";"13/558";"138/23328";2.82032341669575e-05;0.00145499761907484;0.00124573799498586;"Crebbp/Dhx36/Dtl/Eif2s1/Msh6/N4bp1/Ptprk/Rev1/Rpl26/Tipin/Trp53inp1/Usp28/Yy1";13
"ES";"ES";"GO:0031330";"negative regulation of cellular catabolic process";"18/558";"250/23328";3.61003117244736e-05;0.00179233116641925;0.00153455579880983;"Dhx36/Eif4g2/Gabarapl2/Hnrnpu/Marchf7/Mcl1/Mettl16/N4bp1/Nampt/Noct/Pabpc1/Syncrip/Taf15/Tardbp/Usp7/Wac/Ybx1/Zkscan3";18
"ES";"ES";"GO:0000082";"G1/S transition of mitotic cell cycle";"15/558";"183/23328";3.65236470294182e-05;0.00179233116641925;0.00153455579880983;"Ankrd17/Brd4/Ccne1/Cdc73/Crebbp/Jade1/Nasp/Pkd2/Pten/Rpl17/Rpl26/Rps6/Senp2/Skp2/Trim71";15
"ES";"ES";"GO:0098760";"response to interleukin-7";"5/558";"17/23328";3.7499705243628e-05;0.00179641445119475;0.00153805182033076;"Atic/Hnrnph1/Pdia3/Rad23b/Ybx1";5
"ES";"ES";"GO:0098761";"cellular response to interleukin-7";"5/558";"17/23328";3.7499705243628e-05;0.00179641445119475;0.00153805182033076;"Atic/Hnrnph1/Pdia3/Rad23b/Ybx1";5
"ES";"ES";"GO:0032200";"telomere organization";"12/558";"125/23328";4.72667841433009e-05;0.00207216638007834;0.00177414475305964;"Atrx/Ccne1/Cct2/Cct7/Dhx36/Hnrnpa2b1/Hnrnpu/Hsp90aa1/Nat10/Rif1/Terf1/Xrcc5";12
"ES";"ES";"GO:0009123";"nucleoside monophosphate metabolic process";"7/558";"41/23328";4.78905251857071e-05;0.00207216638007834;0.00177414475305964;"Ak4/Atic/Dut/Gart/Paics/Ppat/Prps1";7
"ES";"ES";"GO:0034508";"centromere complex assembly";"6/558";"29/23328";5.42016663674005e-05;0.00220310611578202;0.00188625256800108;"Hells/Hjurp/Mis12/Nasp/Rnf4/Senp6";6
"ES";"ES";"GO:2000648";"positive regulation of stem cell proliferation";"8/558";"57/23328";6.00630820962796e-05;0.00232397925341759;0.0019897415759223;"Bmp4/Ccne1/Dppa2/Gja1/Hnrnpu/Kat7/Nanog/Vegfc";8
"ES";"ES";"GO:0006275";"regulation of DNA replication";"11/558";"110/23328";6.6898058858077e-05;0.00246970448481561;0.00211450841760006;"Ankrd17/Atf1/Atrx/Gmnn/Kat7/Nucks1/Orc5/Rbbp6/Senp2/Terf1/Tipin";11
"ES";"ES";"GO:1901990";"regulation of mitotic cell cycle phase transition";"18/558";"265/23328";7.68606310254317e-05;0.00275269332703643;0.00235679744150628;"Ankrd17/Brd4/Cdc26/Cdc73/Crebbp/Cul3/Dtl/Gen1/Jade1/Pkd2/Pten/Rad21/Riok2/Rpl17/Rpl26/Senp2/Sin3a/Vps4b";18
"ES";"ES";"GO:0071103";"DNA conformation change";"17/558";"242/23328";8.00518965914947e-05;0.00282569150775592;0.00241929693023049;"Atrx/Dhx36/Dnmt3b/Hat1/Hells/Hjurp/Hnrnpa2b1/Kat6b/Mcm6/Nasp/Resf1/Set/Smc2/Smyd3/Tet1/Top1/Trim28";17
"ES";"ES";"GO:0071478";"cellular response to radiation";"13/558";"153/23328";8.26630023133723e-05;0.00289248627225226;0.00247648518601069;"Crebbp/Dhx36/Ect2/Eif2s1/N4bp1/Nucks1/Ptprk/Rnf4/Rpl26/Trp53inp1/Usp28/Xrcc5/Yy1";13
"ES";"ES";"GO:0071383";"cellular response to steroid hormone stimulus";"13/558";"159/23328";0.000122167654414614;0.00387088693987721;0.00331417101449673;"Arid1a/Bmp4/Hnrnpu/Klf9/Ncoa3/Pias2/Rest/Skp2/Smyd3/Trerf1/Ubr5/Uri1/Ywhah";13
"ES";"ES";"GO:0007028";"cytoplasm organization";"4/558";"12/23328";0.000137591874510578;0.00429201320178733;0.00367473035718581;"Kif5b/Rrn3/Tfcp2l1/Wdr77";4
"ES";"ES";"GO:0090068";"positive regulation of cell cycle process";"17/558";"254/23328";0.000144097770036741;0.00434062990058179;0.00371635493999272;"Ankrd17/Atrx/Brd4/Cdc73/Crebbp/Cul3/Dtl/Ect2/Gen1/Hnrnpu/Pkd2/Pkp4/Rad21/Rpl17/Rpl26/Sin3a/Vps4b";17
"ES";"ES";"GO:0009896";"positive regulation of catabolic process";"25/558";"463/23328";0.000148751103926956;0.00443388475705239;0.00379619776337566;"Ambra1/Atxn3/Csnk1a1/Dapk1/Dhx36/Dtl/Fbxo22/Gja1/Hk2/Hsp90aa1/Huwe1/Map3k7/Mettl16/Mtdh/Nedd4/Pabpc1/Pten/Pum1/Tardbp/Trim71/Triml1/Triml2/Trp53inp1/Wac/Ythdf3";25
"ES";"ES";"GO:0051983";"regulation of chromosome segregation";"10/558";"103/23328";0.000182073614315893;0.00527096564033922;0.00451288860019626;"Atrx/Cdc26/Cul3/Ect2/Gen1/Hnrnpu/Pum1/Pum2/Rad21/Riok2";10
"ES";"ES";"GO:0009895";"negative regulation of catabolic process";"19/558";"311/23328";0.000196842326866682;0.00554942285746025;0.00475129774313785;"Dhx36/Eif4g2/Gabarapl2/Hdac4/Hnrnpu/Marchf7/Mcl1/Mettl16/N4bp1/Nampt/Noct/Pabpc1/Syncrip/Taf15/Tardbp/Usp7/Wac/Ybx1/Zkscan3";19
"ES";"ES";"GO:0031331";"positive regulation of cellular catabolic process";"22/558";"396/23328";0.000246679126644976;0.00657375367959855;0.0056283079923946;"Ambra1/Atxn3/Csnk1a1/Dapk1/Dhx36/Fbxo22/Hk2/Hsp90aa1/Huwe1/Map3k7/Mettl16/Mtdh/Pabpc1/Pten/Pum1/Tardbp/Trim71/Triml1/Triml2/Trp53inp1/Wac/Ythdf3";22
"ES";"ES";"GO:0031497";"chromatin assembly";"12/558";"151/23328";0.000287202525688844;0.0074083523293071;0.00634287359365443;"Atrx/Dnmt3b/Hat1/Hells/Hjurp/Kat6b/Nasp/Resf1/Set/Smyd3/Tet1/Trim28";12
"ES";"ES";"GO:0046824";"positive regulation of nucleocytoplasmic transport";"8/558";"74/23328";0.000384191807522892;0.00948458793541177;0.00812050233143317;"Ect2/Hsp90aa1/Rbm26/Riok2/Tardbp/Trim28/Ubr5/Xpo4";8
"ES";"ES";"GO:0006913";"nucleocytoplasmic transport";"18/558";"308/23328";0.000488033338070501;0.0115520361905629;0.0098906075263452;"Bmp4/Ect2/Fbxo22/Hnrnpa2b1/Hsp90aa1/Ipo11/Kpna3/Ppp3r1/Ranbp17/Rbm26/Riok2/Srsf3/Tardbp/Trim28/Ubr5/Xpo4/Xpot/Ythdc1";18
"ES";"ES";"GO:0051169";"nuclear transport";"18/558";"308/23328";0.000488033338070501;0.0115520361905629;0.0098906075263452;"Bmp4/Ect2/Fbxo22/Hnrnpa2b1/Hsp90aa1/Ipo11/Kpna3/Ppp3r1/Ranbp17/Rbm26/Riok2/Srsf3/Tardbp/Trim28/Ubr5/Xpo4/Xpot/Ythdc1";18
"ES";"ES";"GO:0072529";"pyrimidine-containing compound catabolic process";"4/558";"17/23328";0.000601501426267297;0.0137525098823841;0.0117746062689765;"Dut/Tet1/Tet2/Upp1";4
"ES";"ES";"GO:0048863";"stem cell differentiation";"15/558";"237/23328";0.00062570813728291;0.0139880530245913;0.0119762732943097;"Bmp4/Cdk13/Dhx36/Dnmt3l/Hnrnpu/Jarid2/Mtf2/Nanog/Ncoa3/Pum1/Rbpj/Rest/Tcf7l1/Tcof1/Xrcc5";15
"ES";"ES";"GO:0001837";"epithelial to mesenchymal transition";"11/558";"144/23328";0.00070937950281188;0.0155985962804099;0.0133551861530243;"Bmp4/Gcnt2/Gja1/Pawr/Ppp3r1/Pten/Rbpj/Rtn4/Spred1/Tcof1/Trim28";11
"ES";"ES";"GO:0072089";"stem cell proliferation";"11/558";"144/23328";0.00070937950281188;0.0155985962804099;0.0133551861530243;"Bmp4/Ccne1/Dppa2/Gja1/Hmgb2/Hnrnpu/Kat7/Nanog/Ncoa3/Trim71/Vegfc";11
"ES";"ES";"GO:0016055";"Wnt signaling pathway";"22/558";"430/23328";0.000749205585968114;0.0162962339347875;0.0139524886649994;"Ccne1/Cdc73/Csnk1a1/Cul3/Fermt2/Gid8/Gpc4/Jade1/Pkd2/Ppm1b/Pten/Rbpj/Rnf138/Rnf146/Senp2/Spin1/Tcf7l1/Tmem64/Ubr5/Usp34/Wnk1/Xiap";22
"ES";"ES";"GO:0198738";"cell-cell signaling by wnt";"22/558";"432/23328";0.000796049664068127;0.0170388502564369;0.0145883009546192;"Ccne1/Cdc73/Csnk1a1/Cul3/Fermt2/Gid8/Gpc4/Jade1/Pkd2/Ppm1b/Pten/Rbpj/Rnf138/Rnf146/Senp2/Spin1/Tcf7l1/Tmem64/Ubr5/Usp34/Wnk1/Xiap";22
"ES";"ES";"GO:0006997";"nucleus organization";"10/558";"124/23328";0.000806903398357526;0.0171797845237602;0.0147089658748214;"Ankle2/Hmgb2/Map7/Mfsd14a/Rrn3/Rtn4/Serbp1/Tardbp/Ubxn2a/Vps4b";10
"ES";"ES";"GO:0048545";"response to steroid hormone";"14/558";"218/23328";0.000814707600278314;0.017254649386947;0.0147730635773458;"Arid1a/Bmp4/Hmgb2/Hnrnpu/Klf9/Ncoa3/Pias2/Rest/Skp2/Smyd3/Trerf1/Ubr5/Uri1/Ywhah";14
"ES";"ES";"GO:2001020";"regulation of response to DNA damage stimulus";"14/558";"222/23328";0.000971513772088161;0.0199457725453202;0.01707714595083;"Bclaf1/Etaa1/Kat7/Marchf7/Mcl1/Rif1/Rpl26/Senp2/Spred1/Tpt1/Trim28/Trip12/Ube2n/Ubr5";14
"ES";"ES";"GO:0048511";"rhythmic process";"17/558";"301/23328";0.00100984036756015;0.0206273991830561;0.0176607401711161;"Cbx3/Crebbp/Dtl/Hnrnpu/Huwe1/Kat2b/Kdm5b/Klf9/Mat2a/Nampt/Noct/Pten/Setx/Sin3a/Tardbp/Top1/Usp7";17
"ES";"ES";"GO:0035196";"production of miRNAs involved in gene silencing by miRNA";"6/558";"49/23328";0.00106506148670265;0.0211123518349333;0.0180759463104888;"Bmp4/Hnrnpa2b1/Pum1/Pum2/Srrt/Trim71";6
"ES";"ES";"GO:0090342";"regulation of cell aging";"6/558";"49/23328";0.00106506148670265;0.0211123518349333;0.0180759463104888;"Nampt/Pawr/Pten/Rsl1d1/Ybx1/Zkscan3";6
"ES";"ES";"GO:0045666";"positive regulation of neuron differentiation";"23/558";"472/23328";0.00110282855789515;0.0217538339067162;0.0186251696077959;"Atf1/Bmp4/Caprin1/Cobl/Dhx36/Dnmt3b/Ect2/Eif4g2/Etv5/Fbxo38/Fut9/Kat2b/Ntn1/Pias2/Picalm/Plaa/Pten/Rest/Rrn3/Rtn4/Setx/Sin3a/Stmn2";23
